cardId,choiceOrder,id,label,result,stat_reputation,stat_money,stat_safety,stat_energy,stat_relationship,stat_self,hidden_time,hidden_evidence,hidden_exposure,hidden_credit,hidden_conflict,hidden_lockChanged,hidden_askedPermission,hidden_keyUncertain,tagsAdded,track_detour,track_seekHelp,track_explain,track_silence,track_concede,track_clearRefusal,track_evidenceSaved,track_paidSafety,require_reputation,require_money,require_safety,require_energy,require_relationship,require_self,requirementReason
P-01,0,formal,穿深色外套,你穿上深色外套。它看起来更正式，也更醒目。出门前，你把袖口重新抚平了一遍。,1,,,-1,,,,,1,,,,,,noticed,,,,,,,,,,,,,,,
P-01,1,low-key,穿浅色衬衫,你换成浅色衬衫。它没那么显眼，也少了一点正式感。你拿起包，想着等会儿可能还要多解释两句。,,,1,,,-1,,,,,,,,,low_presence,,,,,,,,,,,,,,,
P-01,2,comfortable,穿行动方便的衣服,你选了行动方便的衣服。坐车和走路都轻松一点。至于对方怎么理解，只能到场再说。,,,,1,,1,,,,,,,,,self_first,,,,,,,,,,,,,,,
P-04,0,shortcut,先发消息说明已经到楼下,你发了一句：我已经到楼下，在登记。消息发出去后，前台还在核对身份证。迟到还没发生，解释已经先发出去了。,1,,,-1,,-1,,,,,,,,,early_explain,,,1,,,,,,,,,,,,
P-04,1,main-road,先完成登记，等进电梯再说,你先填完访客信息。电梯门合上时，预约时间刚跳过一分钟。你没有发消息，只把手机握在手里。,,,,-1,,,-1,,,,,,,,registration_delay,,,,,,,,,,,,,,,
P-04,2,taxi,不发消息，直接上楼,你把手机息屏，先上楼。对方没有催你，但电梯上升的几十秒里，你一直看着时间。,-1,,,1,,,,,,,,,,,no_message,,,,1,,,,,,,,,,,
C1-01,0,polished,选更精神的照片,你选了光线更好、妆发更整齐的照片。资料提交成功。列表里的头像更醒目，照片也先于经历被看见。,1,,,,,,,,1,,,,,,image_recorded,,,,,,,,,,,,,,,
C1-01,1,plain,选普通证件照,你上传了普通证件照。资料顺利提交。页面没有再提醒你补充信息。,,,1,,,,,,,,,,,,plain_file,,,,,,,,,,,,,,,
C1-01,2,skip,先不上传,你跳过照片。系统把资料标成未完成。你还能继续投递，但页面多了一条提醒。,-2,,,,,,,,,,,,,,file_blocked,,,,,,,,,,,,,,,
C1-04,0,accept,接受,流程顺利往前走。那串数字没有再被讨论。你算了一下，下个月能用的钱少了一截。,1,-2,,,,-1,,,,,,,,,low_salary,,,,,1,,,,,,,,,,
C1-04,1,negotiate,按招聘页争取,对方说可以再申请一下。面试房间安静了几秒。你争取了一次，也把自己放进了重新评估里。,-2,1,,,,1,,,,,,,,,pending_offer,,,,,,,,,,,,,,,
C1-04,2,write-contract,要求写进合同,对方打开合同条款重新确认。你留下了文字依据。流程慢了一点，对方也不再只把它当聊天。,-1,,,,,1,,2,,,,,,,contract_awareness,,,,,,,1,,,,,,,,
C1-07,0,laugh,笑一下,你跟着笑了一下。聚餐继续往下聊。那句话没有被处理，晚上回去时你还会想起来。,1,,,-1,,-2,,,,,,,,,joke_accepted,,,,1,1,,,,,,,,,,
C1-07,1,deflect,用玩笑转移,你接了一个别的玩笑，把话题带开。桌上的气氛没有停，你也没有说自己不舒服。,,,,-1,,,,,,,,,,,low_conflict,,,,,,,,,,,,,,,
C1-07,2,call-out,说不舒服,你说这句让你不舒服。有人说只是开玩笑。桌上安静了几秒，后来话题才继续。,-2,,,,-1,1,,,,,,,,,too_sensitive_flag,,,,,,1,,,,,,,,3,现在说不出口
C2-01,0,near-expensive,近且贵,你选了离公司近、门禁更好的房子。转账成功后，余额少了一大截。今晚回去的路会短一些。,,-2,1,1,,,,,,,,,,,high_rent,,,,,,,,1,,3,,,,,余额不够
C2-01,1,far-cheap,远且便宜,你选了更便宜的房子。现金留下来了，通勤和夜里回家的路都变长了。,,1,-2,-1,,,,,,,,,,,remote_home,,,,,,,,,,,,,,,
C2-01,2,keep-looking,继续找,你继续刷房源到很晚。收藏夹变长了，合适的房子没有多出来。第二天还要继续看。,,,,-1,,,-1,,,,,,,,search_fatigue,,,,,,,,,,,,,,,
C2-03,0,sign,直接签,你直接签了合同。房子定下来了。那几条没看懂的条款，也会跟着合同一起生效。,,-1,,1,,,,-2,,,,,,,contract_risk,,,,,,,,,,,,,,,
C2-03,1,ask,逐条问,你逐条问。中介解释得很快，语气也短了。你听懂了一部分，至少知道哪几条以后可能出问题。,-1,,,-1,,1,,1,,,,,,,asked_terms,,,,,,,,,,,,,,,
C2-03,2,photo-send,拍下找人看,你拍下合同发给朋友。房子保留到晚上。你多等了几个小时，也多了一个人帮你看。,,,,,-1,,-1,2,,,,,,,external_check,,1,,,,,1,,,,,,3,,不想再麻烦别人
C2-05,0,change-lock,自己付钱换锁,师傅下午来换了锁，花了 280 元。房东说退租时要交回新钥匙。余额少了一点，但今晚你不用再反复确认门锁。,,-2,2,,,1,,,,,,1,,,lock_changed,,,,,,,,1,,3,,,,,余额不够
C2-05,1,ask-landlord,先问房东能不能换,你把照片发给房东。对方几小时后才回：可以换，费用自理，退租时恢复原样。锁还没换，你先解释了一轮。,,,1,-1,,,,,,,1,,1,,asked_permission,,,1,,,,,,,,,,,,
C2-05,2,keep-old-lock,先不换,你决定先不换。钱省下来了，也不用和房东来回确认。晚上关门时，你还是多拧了一次反锁。,,,-2,,,-1,,,,,,,,1,key_uncertain,,,,,1,,,,,,,,,,
C3-03,0,power-bank,买充电宝,你买了充电宝。余额少了一点，手机电量回到能撑到家的程度。,,-1,2,,,,,,,,,,,,charged,,,,,,,,1,,3,,,,,余额不够
C3-03,1,save-money,省钱不买,你没买。手机剩下的电量要撑到家。你把亮度调低，开始减少看屏幕的次数。,,,-2,,,,,,,,,,,,low_battery,,,,,,,,,,,,,,,
C3-03,2,borrow-charge,借同事充电,同事让你充了一会儿。你晚走了半小时，又陪着聊了几句。,1,,,,1,,-1,,,,,,,,late_leave,,,,,,,,,,,,,,,
C3-04,0,shortcut,走近路,你走了近路。导航少了几分钟，路上的人也少了很多。,,,-2,,,,1,,1,,,,,,night_quiet_route,,,,,,,,,,,,,,,
C3-04,1,main-road,走大路,你走大路。路灯和店铺多一些，到家时间也往后推了十几分钟。,,,1,-1,,,,,,,,,,,habit_detour,1,,,,,,,,,,,,,,
C3-04,2,taxi,打车,你打了车，不用走那段路。付款时，余额又少了一截。,,-2,2,,,,,,,,,,,,platform_trip,,,,,,,,1,,3,,,,,余额不够
