cardId,choiceOrder,id,label,result,stat_reputation,stat_money,stat_safety,stat_energy,stat_relationship,stat_self,hidden_time,hidden_evidence,hidden_exposure,hidden_credit,hidden_conflict,tagsAdded,track_detour,track_seekHelp,track_explain,track_silence,track_concede,track_clearRefusal,track_evidenceSaved,track_paidSafety,require_reputation,require_money,require_safety,require_energy,require_relationship,require_self,requirementReason
P-01,0,formal,更正式,你抚平领口，镜子里的人看起来更适合今天的房间。衣服没有替你说话，但会先一步到场。,1.0,,,-1.0,,,,,1.0,,,noticed,,,,,,,,,,,,,,,
P-01,1,low-key,更低调,你把容易被注意的地方收起来。出门时轻了一点，镜子里的你也少了一点。,,,1.0,,,-1.0,,,,,,low_presence,,,,,,,,,,,,,,,
P-01,2,comfortable,穿得舒服,你选了一套行动方便的衣服。身体先松下来。至于别人怎么读它，要到见面时才知道。,,,,1.0,,1.0,,,,,,self_first,,,,,,,,,,,,,,,
P-04,0,shortcut,走近路,你走进那段更短的路。导航快了几分钟，周围的声音却变得很清楚。你开始更留意身后。,,,-2.0,,,,1.0,,1.0,,,quiet_route,,,,,,,,,,,,,,,
P-04,1,main-road,走大路,路灯一直在。你多走了十分钟，脚步也慢了一点。至少这一路不需要反复回头。,,,1.0,-1.0,,,-1.0,,,,,detour,1.0,,,,,,,,,,,,,,
P-04,2,taxi,打车,你坐进车里，车窗把人行道隔在外面。屏幕上跳出价格，像一张小小的收据。余额变薄了。,,-2.0,1.0,,,,1.0,,,,,platform_trip,,,,,,,,1.0,,3.0,,,,,余额不够
C1-01,0,polished,选更精神的照片,资料很快提交成功。页面上的你更清楚，也更容易被记住。,1.0,,,,,,,,1.0,,,image_recorded,,,,,,,,,,,,,,,
C1-01,1,plain,选普通证件照,资料顺利提交。它没有替你多说什么，也没有把你推到更前面。,,,1.0,,,,,,,,,plain_file,,,,,,,,,,,,,,,
C1-01,2,skip,先不上传,系统停在未完成状态。你没有违反规则，只是流程多了一道门槛。,-2.0,,,,,,,,,,,file_blocked,,,,,,,,,,,,,,,
C1-04,0,accept,接受,流程顺利往前走。那串数字没有再被讨论，但它会跟着你进入下一个月。后面有些选择会变窄。,1.0,-2.0,,,,-1.0,,,,,,low_salary,,,,,1.0,,,,,,,,,,
