section,order,key,label,value,chapter,stats,min,word
stat,0,reputation,信誉,6,,,,
stat,1,money,钱,5,,,,
stat,2,safety,安全感,6,,,,
stat,3,energy,精力,7,,,,
stat,4,relationship,关系,5,,,,
stat,5,self,自我,6,,,,
hidden,0,time,,,,,,
hidden,1,evidence,,,,,,
hidden,2,exposure,,,,,,
hidden,3,credit,,,,,,
hidden,4,conflict,,,,,,
hidden,5,lockChanged,,,,,,
hidden,6,askedPermission,,,,,,
hidden,7,keyUncertain,,,,,,
limit,,STAT_MIN,,0,,,,
limit,,STAT_MAX,,12,,,,
limit,,DANGER_MAX,,2,,,,
chapter,0,P,,,,,,
chapter,1,C1,,,,reputation,,
chapter,2,C2,,,,reputation|money,,
chapter,3,C3,,,,reputation|money|safety,,
chapter,4,C4,,,,reputation|money|safety|energy,,
chapter,5,C5,,,,reputation|money|safety|energy|relationship,,
chapter,6,C6,,,,reputation|money|safety|energy|relationship|self,,
chapter,7,E,,,,reputation|money|safety|energy|relationship|self,,
stateWord,0,,,,,,9,较高
stateWord,1,,,,,,6,稳定
stateWord,2,,,,,,3,紧张
stateWord,3,,,,,,Number.NEGATIVE_INFINITY,危险
